PATIENT_TELECOM_ID,SYSTEM_ID,TELECOM_USE,CONTACT_VALUE,PATIENT_ID
5141,2,0,Fra.Wolfe@persial.net,1041
5142,2,0,An_Rodgers@altered.co.uk,1042
5143,2,0,L�ndinaJ@four.org,1043
5144,2,0,Dorothy-Poole@different.com,1044
5145,2,0,Terence_Powell@games.co.uk,1045
5146,2,0,R.Alvarado@polyhedral.net,1046
5147,2,0,Giovanni-Rossi@becomes.org,1047
5148,2,0,Wm_Howell@added.co.uk,1048
5149,2,0,Allen-Gutierrez@ukaram.com,1049
5150,2,0,Ramiro-Alvarez@polition.net,1050
5151,2,0,RandyW@species.org,1051
5152,2,0,Lynne_Dean@maintaken.net,1052
5153,2,0,Stacey-Fuller@novelt.org,1053
5154,2,0,Steven-Thornton@exposed.net,1054
5155,2,0,Judy_Maldonado@province.net,1055
5156,2,0,Lyle_Brady@parter.net,1056
5157,2,0,Grady-Bates@four.org,1057
5158,2,0,Vicki.Cook@onward.co.uk,1058
5159,2,0,Israel-Rodriquez@him.org,1059
5160,2,0,Randal.Er@airporary.co.uk,1060
5161,2,0,Je-Carroll@hinitel.com,1061
5162,2,0,Aubrey-Becker@unequival.co.uk,1062
5163,2,0,Carole-Waters@cent.com,1063
5164,2,0,LuzDrake@some.net,1064
5165,2,0,GilbertChapman@busines.net,1065
5166,2,0,Bruce.King@exertedly.net,1066
5167,2,0,Sam-Rodr@does.com,1067
5168,2,0,Mark-Baile@africal.net,1068
5169,2,0,Adebowale-Oyekan@formed.net,1069
5170,2,0,Luz_Won@busines.net,1070
5171,2,0,Marcus-Wise@fully.co.uk,1071
5172,2,0,MarkCollie@cated.org,1072
5173,2,0,TrePena@core.net,1073
5174,2,0,Jacque.Collier@first.com,1074
5175,2,0,Marianne.Cunningham@forces.net,1075
5176,2,0,VishnupriyaBalas@percentral.org,1076
5177,2,0,NicolePark@sympaties.com,1077
5178,2,0,Jeannette.Miles@twelve.com,1078
5179,2,0,SabrinaRomero@olded.co.uk,1079
5180,2,0,Gustavo.Ray@declare.co.uk,1080
5181,2,0,LGutierrez@gravior.org,1081
5182,2,0,SabrinaMar@definitial.org,1082
5183,2,0,Ste.Bla@age.net,1083
5184,2,0,Adrie_Morales@tests.co.uk,1084
5185,2,0,Bo.Wang@loging.org,1085
5186,2,0,Ignaci-Poo@bible.org,1086
5187,2,0,Jerome.Tor@nhl.co.uk,1087
5188,2,0,OliviaJa@zimbabwe.org,1088
5189,2,0,GordonHicks@cannot.org,1089
5190,2,0,Mark.Haynes@star.net,1090
5191,2,0,Riya-Kapoor@explanets.com,1091
5192,2,0,Everet.Marsh@england.co.uk,1092
5193,2,0,Miriam-Santos@falls.org,1093
5194,2,0,RocRyan@situal.org,1094
5195,2,0,Van.Willis@texas.co.uk,1095
5196,2,0,Leslie_Lync@tests.co.uk,1096
5197,2,0,Don.Kaimakli@groups.org,1097
5198,2,0,Dwayne-Alvarado@take.org,1098
5199,2,0,Judy.Welch@again.co.uk,1099
5200,2,1,Akal-Bahl@wante.com,1100
5201,2,0,ABahl@hotmail.com,1100
1,0,0,0115 9737320,1
2,2,0,bernie.kanfeld@nhsdigital.nhs.uk,1
